trial_id,word,article,correct_type,obj_image,sub_image,phrase,trial_type,thisN,thisTrialN,thisRepN,key_resp.keys,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instruction.started,Welcome.started,start_key.started,mouse_2.started,instruction.stopped,start_key.keys,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trial.started,sentence.started,image_left.started,image_right.started,key_resp.started,mouse.started,trial.stopped,trials_loop.key_resp.keys,response,rt,response_method,correct_response,accuracy,trials_loop.mouse.x,trials_loop.mouse.y,trials_loop.mouse.leftButton,trials_loop.mouse.midButton,trials_loop.mouse.rightButton,trials_loop.mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.6039202918764204,0.6156184580177069,0.6156184580177069,0.6040306249633431,18.65243541705422,None,[0.21666666666666667],[-0.16333333333333333],[1],[0],[0],[18.048171375179663],,,,,,,,,,,,,,,,,,,,114872,001,2026-04-25_15h57.03.361,experiment,2024.2.4,None,2026-04-25 15h57.18.477858 -0700,
56,fusk,None,sub,o18.png,s11.png,that_is,filler,0,0,0,None,0,0,0,55,19.125510500045493,,,,,,,,,,,,,,19.11251391703263,19.125510500045493,19.125510500045493,19.125510500045493,19.125510500045493,0.4597549589816481,22.750626416876912,None,j,0,mouse,j,1,,,,,,,114872,001,2026-04-25_15h57.03.361,experiment,2024.2.4,None,2026-04-25 15h57.18.477858 -0700,
17,phrup,None,sub,o21.png,s19.png,that_is,filler,1,1,0,None,0,1,1,16,22.937820167047903,,,,,,,,,,,,,,22.93355583306402,22.937820167047903,22.937820167047903,22.937820167047903,22.937820167047903,0.17797195888124406,26.51679304195568,None,j,0,mouse,j,1,[0.42],[-0.021666666666666667],[1],[0],[0],[3.6375690838322043],114872,001,2026-04-25_15h57.03.361,experiment,2024.2.4,None,2026-04-25 15h57.18.477858 -0700,
48,kal,a,obj,o18.png,s10.png,look,critical,2,2,0,None,0,2,2,47,26.806216249940917,,,,,,,,,,,,,,26.801994249923155,26.806216249940917,26.806216249940917,26.806216249940917,26.806216249940917,0.28450166690163314,32.07809637486935,None,f,0,mouse,f,1,[0.2833333333333333],[-0.018333333333333333],[1],[0],[0],[3.583041915902868],114872,001,2026-04-25_15h57.03.361,experiment,2024.2.4,None,2026-04-25 15h57.18.477858 -0700,
8,boarse,None,sub,o9.png,s17.png,that_is,filler,3,3,0,None,0,3,3,7,32.36645258287899,,,,,,,,,,,,,,32.36207970790565,32.36645258287899,32.36645258287899,32.36645258287899,32.36645258287899,0.283400041051209,34.782776166917756,None,f,0,mouse,f,1,[-0.43333333333333335],[-0.03],[1],[0],[0],[5.275924874935299],114872,001,2026-04-25_15h57.03.361,experiment,2024.2.4,None,2026-04-25 15h57.18.477858 -0700,
96,tem,a,obj,o9.png,s6.png,look,critical,4,4,0,,0,4,4,95,35.07471808302216,,,,,,,,,,,,,,35.070300000021234,35.07471808302216,35.07471808302216,35.07471808302216,35.07471808302216,0.28672087495215237,,,,,,,,[-0.43333333333333335],[-0.03],[1],[0],[0],[2.4205004170071334],,,,,,,,
