trial_id,word,article,correct_type,obj_image,sub_image,phrase,trial_type,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instruction.started,Welcome.started,start_key.started,instruction.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,sentence.started,image_left.started,image_right.started,key_resp.started,trial.stopped,trials_loop.key_resp.keys,trials_loop.key_resp.rt,trials_loop.key_resp.duration,response,rt,correct_response,accuracy,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.5374495419673622,0.5490075000561774,0.5490075000561774,17.277711499948055,f,16.257258041063324,None,,,,,,,,,,,,,,176440,001,2026-04-24_15h06.08.001,experiment,2024.2.4,None,2026-04-24 15h06.24.827172 -0700,
35,clet,None,sub,o21.png,s4.png,look,critical,0,0,0,f,0.16418945789337158,None,0,0,0,34,18.25822987500578,,,,,,,,,17.626989542040974,18.25822987500578,18.25822987500578,18.25822987500578,18.25822987500578,18.429735000012442,f,0.16418945789337158,None,f,0.16418945789337158,f,1,176440,001,2026-04-24_15h06.08.001,experiment,2024.2.4,None,2026-04-24 15h06.24.827172 -0700,
48,kal,a,obj,o18.png,s10.png,look,critical,1,1,0,f,2.839832292171195,None,0,1,1,47,18.786528083961457,,,,,,,,,18.719875833950937,18.786528083961457,18.786528083961457,18.786528083961457,18.786528083961457,21.631293334066868,f,2.839832292171195,None,f,2.839832292171195,j,0,176440,001,2026-04-24_15h06.08.001,experiment,2024.2.4,None,2026-04-24 15h06.24.827172 -0700,
79,phrup,a,obj,o11.png,s17.png,look,critical,2,2,0,f,0.8102277910802513,None,0,2,2,78,22.018240292090923,,,,,,,,,21.978547374950722,22.018240292090923,22.018240292090923,22.018240292090923,22.018240292090923,22.835510541917756,f,0.8102277910802513,None,f,0.8102277910802513,j,0,176440,001,2026-04-24_15h06.08.001,experiment,2024.2.4,None,2026-04-24 15h06.24.827172 -0700,
17,phrup,None,sub,o21.png,s19.png,that_is,filler,3,3,0,f,4.016606290824711,None,0,3,3,16,23.153636042028666,,,,,,,,,23.098248791880906,23.153636042028666,23.153636042028666,23.153636042028666,23.153636042028666,27.17243945901282,f,4.016606290824711,None,f,4.016606290824711,f,1,176440,001,2026-04-24_15h06.08.001,experiment,2024.2.4,None,2026-04-24 15h06.24.827172 -0700,
38,boarse,a,obj,o7.png,s21.png,look,critical,4,4,0,f,1.7352492499630898,None,0,4,4,37,27.605932709062472,,,,,,,,,27.543961917050183,27.605932709062472,27.605932709062472,27.605932709062472,27.605932709062472,29.347045124974102,f,1.7352492499630898,None,f,1.7352492499630898,j,0,176440,001,2026-04-24_15h06.08.001,experiment,2024.2.4,None,2026-04-24 15h06.24.827172 -0700,
49,tharge,None,sub,o20.png,s23.png,that_is,filler,5,5,0,f,2.768089999910444,None,0,5,5,48,29.771007916890085,,,,,,,,,29.70857591694221,29.771007916890085,29.771007916890085,29.771007916890085,29.771007916890085,32.547031542053446,f,2.768089999910444,None,f,2.768089999910444,j,0,176440,001,2026-04-24_15h06.08.001,experiment,2024.2.4,None,2026-04-24 15h06.24.827172 -0700,
99,ses,None,sub,o4.png,s3.png,look,critical,6,6,0,j,0.4564724990632385,None,0,6,6,98,32.95556050003506,,,,,,,,,32.896564666880295,32.95556050003506,32.95556050003506,32.95556050003506,32.95556050003506,33.41368949995376,j,0.4564724990632385,None,j,0.4564724990632385,j,1,176440,001,2026-04-24_15h06.08.001,experiment,2024.2.4,None,2026-04-24 15h06.24.827172 -0700,
54,stutch,a,obj,o25.png,s24.png,there_is,filler,7,7,0,j,1.6146990000270307,None,0,7,7,53,33.78628379199654,,,,,,,,,33.736391708953306,33.78628379199654,33.78628379199654,33.78628379199654,33.78628379199654,35.4066828340292,j,1.6146990000270307,None,j,1.6146990000270307,j,1,176440,001,2026-04-24_15h06.08.001,experiment,2024.2.4,None,2026-04-24 15h06.24.827172 -0700,
84,tib,a,obj,o3.png,s20.png,there_is,filler,8,8,0,f,4.565761707955971,None,0,8,8,83,35.87023629201576,,,,,,,,,35.81739025004208,35.87023629201576,35.87023629201576,35.87023629201576,35.87023629201576,40.437354624969885,f,4.565761707955971,None,f,4.565761707955971,f,1,176440,001,2026-04-24_15h06.08.001,experiment,2024.2.4,None,2026-04-24 15h06.24.827172 -0700,
